group_type,k,s,err,delta,noise_scale,n,weight_decay,hit_rate,proxy_hit_rate,correct,proxy_correct,episodes,mean_reward,wn_policy_net_0,wn_policy_net_2,wn_action_net,weight_norm_actor,wn_value_net_0,wn_value_net_2,wn_value_net_out,weight_norm_critic,weight_norm_total,fit_status,fit_L,fit_A,fit_tau,fit_L_err,fit_A_err,fit_tau_err,r_squared,rmse,fit_points_used,source_file
heatmap,,,,,1.5,3,0.0,1.0,,500,,500,1.0,5.212337548882802,9.548434000275236,2.77494074280393,11.2268139161197,4.76187438647908,7.813583129067411,0.7669389032046637,9.182359406421703,14.50369177057621,ok,1.003898675952672,0.9583790896036434,12676.598310120376,7.582573627726992e-05,0.0005216295807174,10.549971548096288,0.967091626448649,0.0293668986129674,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.55,3,0.0,1.0,,500,,500,1.0,5.149373173528737,9.635424522405293,2.80213008427946,11.278713703984629,4.835489628255184,7.838351173187852,0.8435772114840384,9.248423193761951,14.585702396092026,ok,1.004240124196874,0.9424069658571766,12996.77512704978,8.11636673600229e-05,0.00054905010793,11.607540667374874,0.962340101311334,0.0312994500877788,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.6,3,0.0,1.0,,500,,500,1.0,5.249943721560422,9.490813787766326,2.709299406722802,11.179345182472703,4.754054858659749,7.767773956986437,0.7597612705158024,9.138740998308185,14.439333285960071,ok,1.0039180682900306,0.9541727666271362,12803.798723872287,7.612757614063516e-05,0.0005201979242438,10.684571699192858,0.9669385856586934,0.0294335238568963,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.65,3,0.0,1.0,,500,,500,1.0,5.224742159002806,9.58498444245809,2.77390476331989,11.263410008793684,4.750870040687369,7.789977578538242,0.7206761810970121,9.15280781922301,14.5133833409658,ok,1.0042294585090288,0.9415400908306508,13262.08342184386,8.16608209251537e-05,0.0005449103239094,11.790049165900626,0.9627104554517552,0.0313786814508988,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.7,3,0.0,1.0,,500,,500,1.0,5.277879173907505,9.488223905299764,2.781266498633938,11.207936687360968,4.755762794030938,7.798513483989258,0.7525118992681656,9.16517138255425,14.47819779045318,ok,1.004029036314798,0.9449535351794623,13419.287876097278,7.958310840571946e-05,0.0005267978995611,11.505928062216295,0.9652453764087104,0.0305150726419889,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.75,3,0.0,1.0,,500,,500,1.0,5.305905428416025,9.56073519060498,2.6911111638409357,11.260655802230898,4.781757312239353,7.790850248611362,0.7978300888169948,9.176005854404409,14.52588904461205,ok,1.004439084601475,0.9346819196377496,13543.924841226017,7.996887585538582e-05,0.0005260210974869,11.734372013502409,0.9645569139310028,0.0306110366709411,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.8,3,0.0,1.0,,500,,500,1.0,5.326592118596888,9.529231642202506,2.794042262762257,11.268784826002916,4.8741393705111244,7.782631980923485,0.7969373908743145,9.21746735055965,14.558407049309574,ok,1.0042623986399035,0.9499255506959188,13962.536607778284,8.384069349914602e-05,0.0005400676197539,12.260556059533824,0.9636876183071944,0.0319095670725008,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.85,3,0.0,1.0,,500,,500,1.0,5.323558740576024,9.564009421481265,2.766129555111425,11.289908174746447,4.841386399098368,7.788299051914577,0.8075398410037526,9.205908156300309,14.567455906109457,ok,1.0042505441982448,0.9569476896118876,13553.609317399034,7.745159603140873e-05,0.0005092314191735,11.103428082250357,0.9681898506746868,0.02964381715085,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.9,3,0.0,1.0,,500,,500,1.0,5.380666123535577,9.447855988724385,2.658553670217588,11.192920009276667,4.795701026154783,7.750014124605551,0.7331404694991343,9.143246809086202,14.452695961166931,ok,1.004496715244555,0.9574728237861492,13548.559445670564,8.623386942113482e-05,0.000567098948859,12.35424288492015,0.9608901710698282,0.0330071170396066,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,1.95,3,0.0,1.0,,500,,500,1.0,5.308013887153122,9.379615772542754,2.6971621683431897,11.109765399372074,4.842821475215939,7.828794244228253,0.8565344368561136,9.24535507164514,14.453493613306074,ok,1.0043750671945628,0.9539505402495688,14053.853531521068,8.369385465680756e-05,0.0005366870297897,12.220849506132213,0.9643793264285496,0.0318134588258965,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,2.0,3,0.0,1.0,,500,,500,1.0,5.386954852179661,9.567136622547023,2.7136870153380426,11.309884303171131,4.819139051039016,7.747799734905667,0.7242852312625874,9.1529826298141,14.54959016511446,ok,1.004467476395522,0.9464810806067736,14282.998106757095,8.664443509195612e-05,0.0005493825500049,12.83801511508234,0.9620726667572777,0.0328304214234728,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,2.05,3,0.0,1.0,,500,,500,1.0,5.431251602479898,9.478701715629352,2.7745891325812515,11.271318691171556,4.836840431273708,7.811732316446489,0.8487409727763664,9.22705523882283,14.5664399706394,ok,1.00357935464552,0.9381629484398918,13724.975046018497,7.62597629746756e-05,0.0004970724457691,11.211124381503485,0.9683943212500592,0.0291190382005166,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,2.1,3,0.0,0.998,,499,,500,0.998,5.460333330953795,9.537463390381946,2.7318496941994788,11.324374188435256,4.886610016958632,7.809695393809348,0.831014371894527,9.24991267462686,14.621981235383984,ok,1.0040705000204049,0.9428005189040332,14388.984986763371,8.240981232581633e-05,0.0005198357674597,12.296063431953598,0.965608807864866,0.0311797655289947,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,2.15,3,0.0,1.0,,500,,500,1.0,5.48507016685841,9.58613588707664,2.791475797487992,11.391766022387396,4.777484030859072,7.692751890255901,0.6575298847528939,9.079379431408974,14.567342378358251,ok,1.0047083084653483,0.944144723424312,15000.673629635474,8.752135982834162e-05,0.0005360497934207,13.267546450459976,0.9633566531800932,0.0328293036178812,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,2.2,3,0.0,1.0,,500,,500,1.0,5.445690510653597,9.575559533101258,2.7905617321745693,11.363719474312369,4.903417391443766,7.811463164192256,0.8133015724192343,9.258721203705472,14.658036656346969,ok,1.0039027451601077,0.9428750115880422,14425.568477052597,8.302760928541376e-05,0.0005228009825837,12.40036460625001,0.9652200422093042,0.0313974540253981,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,2.25,3,0.0,1.0,,500,,500,1.0,5.502576466337337,9.472515450050585,2.764444012728461,11.298187793573211,4.785032236477457,7.736986223898864,0.7162353712880877,9.125266157215002,14.523068885702504,ok,1.003798448990152,0.9489802962767032,15011.945690812589,8.248744680601414e-05,0.0005049500564587,12.444509507053496,0.9676676020807364,0.0309361709001668,200704,per_layer_weight_norm_rerun_7.csv
heatmap,,,,,2.3,3,0.0,1.0,,500,,500,1.0,5.53003508619841,9.54509209312685,2.636730088346439,11.34206403965564,4.9520129458142375,7.829445980345432,0.8430246537690743,9.30233019955331,14.668870570741673,ok,1.0036109550904595,0.9415363401852668,15308.149009978451,8.122329832122518e-05,0.0004903118947536,12.449970215564552,0.9688850721642248,0.0303337754989278,200704,per_layer_weight_norm_rerun_7.csv
