spec_fixed,spec_variable,M,beta,certified,status,label,source_file
"('margin', 25, 10.0, 0.0)","('heatmap', 1.0, 3)",0.6022062100245644,17.115535231410963,True,ok,k_fixedmargin_scaled-25-10.0_k_variableheatmap-1.0-3,batch_summary_10.csv
"('margin', 13, 1.0, 0.0)","('margin', 13, 10.0, 0.0)",0.5790415171257262,27.16262882964056,True,ok,k_fixedmargin-13_k_variablemargin_scaled-13-10.0,batch_summary_10.csv
"('margin', 22, 1.0, 0.0)","('margin', 22, 10.0, 0.0)",0.6098836985567974,17.65202946116137,True,ok,k_fixedmargin-22_k_variablemargin_scaled-22-10.0,batch_summary_10.csv
"('margin', 2, 1.0, 0.0)","('margin', 20, 10.0, 0.0)",0.8701628056301446,30.400520554401197,True,ok,k_fixedmargin-2_k_variablemargin_scaled-20-10.0,batch_summary_10.csv
"('margin', 2, 1.0, 0.0)","('margin', 17, 10.0, 0.0)",0.859917104031791,10.123659527680273,True,ok,k_fixedmargin-2_k_variablemargin_scaled-17-10.0,batch_summary_10.csv
"('margin', 4, 1.0, 0.0)","('margin', 24, 10.0, 0.0)",0.7158971676140138,22.30213644546105,True,ok,k_fixedmargin-4_k_variablemargin_scaled-24-10.0,batch_summary_10.csv
"('margin', 2, 1.0, 0.0)","('margin', 21, 10.0, 0.0)",0.8839910245282808,8.791041885206303,True,ok,k_fixedmargin-2_k_variablemargin_scaled-21-10.0,batch_summary_10.csv
"('margin', 1, 1.0, 0.0)","('margin', 1, 0.1, 0.0)",2.2197461194059365,4.735564663849567,True,ok,k_fixedmargin-1_k_variablemargin_scaled-1-0.1,batch_summary_13.csv
"('margin', 5, 1.0, 0.0)","('margin', 5, 0.1, 0.0)",1.7394369273553938,10.614834385781007,True,ok,k_fixedmargin-5_k_variablemargin_scaled-5-0.1,batch_summary_13.csv
"('margin', 25, 1.0, 0.0)","('margin', 1, 0.1, 0.0)",1.0270527965208365,21.82427717128302,True,ok,k_fixedmargin-25_k_variablemargin_scaled-1-0.1,batch_summary_13.csv
"('margin', 10, 1.0, 0.0)","('margin', 3, 0.1, 0.0)",1.4725134529930166,141.76970042200264,True,ok,k_fixedmargin-10_k_variablemargin_scaled-3-0.1,batch_summary_13.csv
"('margin', 1, 0.1, 0.0)","('margin', 10, 0.1, 0.0)",1.5253243590182883,14.97652544207228,True,ok,k_fixedmargin_scaled-1-0.1_k_variablemargin_scaled-10-0.1,batch_summary_13.csv
"('margin', 8, 0.15, 0.0)","('margin', 8, 1.6, 0.0)",0.5895416041090258,26.837436207732317,True,ok,k_fixedmargin_scaled-8-0.15_k_variablemargin_scaled-8-1.6,batch_summary_14.csv
"('margin', 15, 0.25, 0.0)","('margin', 15, 2.5, 0.0)",0.6194537696639213,24.09122552006234,True,ok,k_fixedmargin_scaled-15-0.25_k_variablemargin_scaled-15-2.5,batch_summary_14.csv
"('margin', 15, 0.4, 0.0)","('margin', 15, 4.0, 0.0)",0.6055864898143444,54.5169274877767,True,ok,k_fixedmargin_scaled-15-0.4_k_variablemargin_scaled-15-4.0,batch_summary_14.csv
"('margin', 15, 0.65, 0.0)","('margin', 15, 6.5, 0.0)",0.5976334912203825,45.542953671872176,True,ok,k_fixedmargin_scaled-15-0.65_k_variablemargin_scaled-15-6.5,batch_summary_14.csv
"('margin', 15, 0.4, 0.0)","('margin', 15, 1.6, 0.0)",0.7057557969294924,19.604191966715884,True,ok,k_fixedmargin_scaled-15-0.4_k_variablemargin_scaled-15-1.6,batch_summary_14.csv
"('margin', 15, 1.6, 0.0)","('margin', 15, 4.0, 0.0)",0.76836677723032,18.96972472623083,True,ok,k_fixedmargin_scaled-15-1.6_k_variablemargin_scaled-15-4.0,batch_summary_14.csv
