spec_fixed,spec_variable,label,M,beta,certified,status,diff_whole_model,diff_actor,diff_critic,diff_policy_net_0,diff_policy_net_2,diff_action_net,diff_value_net_0,diff_value_net_2,diff_value_net_out,source_file
"('margin', 4.0, 1.0, 0.0, 4)","('margin', 24.0, 10.0, 0.0, 4)",k_fixedmargin-4_k_variablemargin_scaled-24-10.0,0.7158971676140138,22.30213644546105,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 2.0, 1.0, 0.0, 4)","('margin', 21.0, 10.0, 0.0, 4)",k_fixedmargin-2_k_variablemargin_scaled-21-10.0,0.8839910245282808,8.791041885206303,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 1.0, 1.0, 0.0, 4)","('margin', 1.0, 0.1, 0.0, 4)",k_fixedmargin-1_k_variablemargin_scaled-1-0.1,2.2197461194059365,4.735564663849567,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 5.0, 1.0, 0.0, 4)","('margin', 5.0, 0.1, 0.0, 4)",k_fixedmargin-5_k_variablemargin_scaled-5-0.1,1.7394369273553938,10.614834385781007,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 25.0, 1.0, 0.0, 4)","('margin', 1.0, 0.1, 0.0, 4)",k_fixedmargin-25_k_variablemargin_scaled-1-0.1,1.0270527965208365,21.82427717128302,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 10.0, 1.0, 0.0, 4)","('margin', 3.0, 0.1, 0.0, 4)",k_fixedmargin-10_k_variablemargin_scaled-3-0.1,1.4725134529930166,141.76970042200264,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 1.0, 0.1, 0.0, 4)","('margin', 10.0, 0.1, 0.0, 4)",k_fixedmargin_scaled-1-0.1_k_variablemargin_scaled-10-0.1,1.5253243590182883,14.97652544207228,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 8.0, 0.15, 0.0, 4)","('margin', 8.0, 1.6, 0.0, 4)",k_fixedmargin_scaled-8-0.15_k_variablemargin_scaled-8-1.6,0.5895416041090258,26.837436207732317,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 15.0, 0.25, 0.0, 4)","('margin', 15.0, 2.5, 0.0, 4)",k_fixedmargin_scaled-15-0.25_k_variablemargin_scaled-15-2.5,0.6194537696639213,24.09122552006234,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 15.0, 0.4, 0.0, 4)","('margin', 15.0, 4.0, 0.0, 4)",k_fixedmargin_scaled-15-0.4_k_variablemargin_scaled-15-4.0,0.6055864898143444,54.5169274877767,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 15.0, 0.65, 0.0, 4)","('margin', 15.0, 6.5, 0.0, 4)",k_fixedmargin_scaled-15-0.65_k_variablemargin_scaled-15-6.5,0.5976334912203825,45.542953671872176,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 15.0, 0.4, 0.0, 4)","('margin', 15.0, 1.6, 0.0, 4)",k_fixedmargin_scaled-15-0.4_k_variablemargin_scaled-15-1.6,0.7057557969294924,19.604191966715884,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 15.0, 1.6, 0.0, 4)","('margin', 15.0, 4.0, 0.0, 4)",k_fixedmargin_scaled-15-1.6_k_variablemargin_scaled-15-4.0,0.76836677723032,18.96972472623083,True,ok,,,,,,,,,,indifference_data.csv
"('margin', 1.0, 1.0, 0.0, 4)","('margin', 4.0, 1.0, 0.0, 4)",,,,,,,,,,,,,,,run_pipeline.py
"('heatmap', 1.0, 2, 4)","('heatmap', 1.0, 6, 4)",,,,,,,,,,,,,,,run_pipeline.py
