spec_fixed,spec_variable,label,M,beta,certified,status,diff_whole_model,diff_actor,diff_critic,diff_policy_net_0,diff_policy_net_2,diff_action_net,diff_value_net_0,diff_value_net_2,diff_value_net_out,source_file,ratio_em_avg,ratio_em_max,ratio_em_sum,ratio_em_l1,ratio_em_l2,ratio_em_rms,ratio_em_std,ratio_entropy_effective_rank,ratio_participation_ratio,ratio_num_options,ratio_proxy_dimension_size,ratio_p_proxy_correct,ratio_wn_actor,ratio_wn_critic,ratio_wn_whole_model,ratio_wn_policy_net_0,ratio_wn_policy_net_2,ratio_wn_action_net,ratio_wn_value_net_0,ratio_wn_value_net_2,ratio_wn_value_net_out,ratio_weight_decay,ratio_hit_rate,ratio_proxy_hit_rate,ratio_correct,ratio_proxy_correct,ratio_episodes,ratio_mean_reward,ratio_fit_status,ratio_fit_L,ratio_fit_A,ratio_fit_tau,ratio_fit_L_err,ratio_fit_A_err,ratio_fit_tau_err,ratio_r_squared,ratio_rmse,ratio_fit_points_used
"('margin', 16.0, 1.0, 0.0, 4)","('margin', 18.0, 1.0, 0.0, 4)",k_fixed16_k_variable18,1.0188634202534417,38.13316642041019,True,ok,,,,,,,,,,indifference_data.csv,0.9969977967918113,0.9914574738299441,0.9969977967918113,0.9969977967918113,0.9964235599706524,0.9964235599706524,0.9921891212762088,0.9992631981880467,0.9984545193851927,1.0,1.0,1.0,0.9957086647241805,1.0075808905245058,0.9976371340319031,0.9934181304724337,0.9926613492123965,1.019311501618947,1.0241765749661302,1.0055431721534607,0.9993725382004974,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9826301231654537,0.958379645185827,1.1016313374708444,1.1539715684135017,0.9937065976960205,1.2263067510353847,0.9974791899137394,1.0370469323537594,1.0
"('margin', 2.0, 1.0, 0.0, 4)","('margin', 5.0, 1.0, 0.0, 4)",k_fixed2_k_variable5,1.189854012502157,20.891665576340337,True,ok,,,,,,,,,,indifference_data.csv,0.8909335240234513,0.7600818273638212,0.8909335240234513,0.8909335240234513,0.856191251730287,0.856191251730287,0.7190983254519661,1.0277317300835818,1.049269511210157,1.0,1.0,1.0,1.1791349751367821,1.0046675417289879,1.1350677499832529,1.0902028579796896,1.1716939879536545,1.4540780109940186,1.0311799891055797,1.0009802871559337,1.022388376771562,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9977784645722981,0.9814639114198194,1.3467930162773096,1.1063140236792786,0.8723406318892348,1.2641334128994768,1.006531312187278,1.0123619199338214,1.0
"('margin', 9.0, 1.0, 0.0, 4)","('margin', 2.0, 1.0, 0.0, 4)",k_fixedmargin-9_k_variablemargin-2,0.7117259918374386,22.61228024947988,True,ok,,,,,,,,,,indifference_data.csv,1.1646629188557618,1.4513894237653298,1.1646629188557618,1.1646629188557618,1.2235873402867985,1.2235873402867985,1.5449766820857433,0.9758174563293147,0.9586781640623918,1.0,1.0,1.0,0.7645061469310991,0.9974843426186414,0.8105717688458732,0.8801743258576936,0.7700671669023373,0.572668276667967,0.9948088381486719,0.9983988512452505,0.963744381840265,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0142591037996922,1.0742841242648022,0.5553446517868377,0.9612082540297787,1.61871910313137,0.724118383976966,0.9797511434013291,1.2064044133944265,1.0
"('margin', 25.0, 1.0, 0.0, 4)","('margin', 5.0, 1.0, 0.0, 4)",k_fixedmargin-25_k_variablemargin-5,0.7488304600067317,86.67174407688196,True,ok,,,,,,,,,,indifference_data.csv,1.0698502045229505,1.2024224067695328,1.0698502045229505,1.0698502045229505,1.086910338587115,1.086910338587115,1.2052468310900297,1.0096185562609303,1.0201049711573225,1.0,1.0,1.0,0.8156742386668508,0.9841849138276989,0.8438482471485204,0.9733977450883335,0.8093248964684976,0.7306401209713533,0.9839869322619436,0.9840885563327295,0.9915591166153007,,1.0,1.0,1.0,1.0,1.0,1.0,,1.1088400841551664,1.3480426856151118,0.3676169447115826,0.5313959332154359,1.9434571102516267,0.3070385977288513,0.9910575345888393,1.2455550849072499,1.0
"('margin', 18.0, 1.0, 0.0, 4)","('margin', 16.0, 1.0, 0.0, 4)",k_fixedmargin-18_k_variablemargin-16,0.9762918630164742,34.13625161665352,True,ok,,,,,,,,,,indifference_data.csv,1.0030112435733052,1.0086161296833607,1.0030112435733052,1.0030112435733052,1.003589276862796,1.003589276862796,1.0078723688420856,1.000737345089151,1.0015478728222482,1.0,1.0,1.0,1.0043098302021989,0.9924761469815494,1.0023684623271263,1.0066254775564003,1.0073929047337506,0.98105436700334,0.9763941340223197,0.9944873852192846,1.0006278557550043,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0176769228065092,1.0434278367901928,0.9077446927897199,0.866572476629399,1.0063332600574166,0.8154566540188161,1.002527180628679,0.9642765132435472,1.0
"('margin', 1.0, 1.0, 0.0, 4)","('heatmap', 0.0, 3, 4)",k_fixedmargin-1_k_variableheatmap-0.0-3,0.9876493654625398,105.92668099699742,True,ok,,,,,,,,,,indifference_data.csv,0.4323642170407006,1.6715913744588387,1.2970926511221017,1.2970926511221017,1.6062613055146218,0.9273753971277465,1.4895335587707899,2.115844503250602,1.844022843302423,1.0,3.0,1.0,0.9887183617572379,1.100271683927865,1.0235844367848277,1.4550256770058374,0.8912929372966473,0.9882623827860448,1.680922722661305,0.9998809223264862,0.9943038954853257,,1.0,,1.0,,1.0,1.0,,0.9990723356812877,0.9854522820823304,0.9286758883071892,0.9004383382088964,0.9469020174612442,0.8855721435678794,1.0035777169236904,0.9125363955335086,1.0
"('heatmap', 0.0, 3, 4)","('margin', 1.0, 1.0, 0.0, 4)",k_fixedheatmap-0.0-3_k_variablemargin-1,1.0127289616903976,117.63172441553807,True,ok,,,,,,,,,,indifference_data.csv,2.312864850020336,0.5982323283546137,0.7709549500067787,0.7709549500067787,0.6225637114999886,1.078311979266633,0.6713511045868825,0.47262452342962147,0.5422926313695335,1.0,0.3333333333333333,1.0,1.011410365862642,0.9088664323615923,0.9769589728631392,0.6872730947661401,1.121965582980012,1.0118770251892673,0.5949113463210013,1.000119091854695,1.0057287359936309,,1.0,,1.0,,1.0,1.0,,1.0009285256788536,1.0147624782875628,1.0768019419808799,1.1105702162672753,1.056075477250664,1.1292134777084366,0.9964350375029676,1.0958467025475256,1.0
"('heatmap', 2.0, 3, 4)","('margin', 9.0, 1.0, 0.0, 4)",k_fixedheatmap-2.0-3_k_variablemargin-9,2.9487496625649525,4.3092175652854525,True,ok,,,,,,,,,,indifference_data.csv,0.07800816460379346,0.02557497749903489,0.026002721534597824,0.026002721534597824,0.031156696078157547,0.05396498060335086,0.026874103453490936,0.8398346614492357,0.9467604640844074,1.0,0.3333333333333333,1.0609741864980424,1.6253750495814066,0.9306007375308691,1.3924999829869675,1.0801701831726223,1.7174406287469877,2.151602759631798,0.5891763562080898,1.027631113337855,1.4475064150418773,,1.0,,1.0,,1.0,1.0,,0.9871681256901265,0.9463801360927158,2.0295190968055183,1.2045048076663945,0.6564754542458315,1.6519068067832785,1.0161963397518454,0.9351318560131318,1.0
"('margin', 3.0, 1.0, 0.0, 4)","('heatmap', 1.5, 3, 4)",k_fixedmargin-3_k_variableheatmap-1.5-3,0.3740501347150509,171.71346112055116,True,ok,,,,,,,,,,indifference_data.csv,6.629408666756116,18.47154601923645,19.888226000268347,19.888226000268347,16.415583145496214,9.477541347956924,16.582104854942017,1.2441570740409542,1.0838711458777794,1.0,3.0,0.994125,0.7386800514790698,1.0805717195792541,0.8329343398102602,0.9801304662902365,0.699295279376799,0.6879357444278086,1.6659698898026973,0.9846077615378328,0.7432217757137984,,1.0,,1.0,,1.0,1.0,,0.9989901244155914,0.9943093150983283,0.7110575776363045,0.7594235538574524,0.9695499459804781,0.663828563159249,1.003861607485074,0.8175840096945056,1.0
"('heatmap', 0.0, 3, 4)","('heatmap', 0.5, 3, 4)",k_fixedheatmap-0.0-3_k_variableheatmap-0.5-3,0.9966765365542852,186.31151697595877,True,ok,,,,,,,,,,indifference_data.csv,2.7472011653850705,2.027765846419262,2.7472011653850714,2.7472011653850714,2.0619459759287366,2.061945975928737,1.9085789104370794,0.7934312940866894,0.7936576020345235,1.0,1.0,1.0,0.942191806124162,0.9881632530869467,0.958434522753279,0.9116188814342502,0.953443614578929,0.9649084272781452,0.9766164120088638,0.9931694127531729,0.942070573224456,,1.0,,1.0,,1.0,1.0,,0.9997986088761974,0.9954986809670362,0.9899417248242106,0.9299393868595602,0.9362618255415693,0.9301198679938357,1.004400884449645,0.9315428639637495,1.0
