cache_key,em_avg,em_max,em_sum,em_l1,em_l2,em_rms,em_std,entropy_effective_rank,participation_ratio,num_options,proxy_dimension_size,p_proxy_correct,wn_actor,wn_critic,wn_whole_model,wn_policy_net_0,wn_policy_net_2,wn_action_net,wn_value_net_0,wn_value_net_2,wn_value_net_out,weight_decay,hit_rate,proxy_hit_rate,correct,proxy_correct,episodes,mean_reward,fit_status,fit_L,fit_A,fit_tau,fit_L_err,fit_A_err,fit_tau_err,r_squared,rmse,fit_points_used
"('margin', 9.0, 1.0, 0.0, 4)",0.590431791795122,0.8615374406536074,2.361727167180488,2.361727167180488,1.293318851050253,0.6466594255251265,0.24479828996740244,3.988482065862532,3.9764187576586236,4,4,1.0,18.38280376002675,8.517772385912235,20.260304057389234,5.818828009421551,16.43098913633549,5.83877647097831,2.8393227861512798,7.961880067499849,1.0484075185726849,0.0,1.0,1.0,500,500,500,1.0,ok,0.9915782759900588,0.8957308938738191,28987.61741730059,0.0001043636386258,0.0003606561590692,21.207204554191133,0.9776547225340424,0.0307007729194254,200704
"('margin', 14.0, 1.0, 0.0, 4)",0.5805111568744871,0.8218549009710677,2.3220446274979483,2.3220446274979483,1.2669315188995631,0.6334657594497816,0.233764964461269,3.97534647522813,3.9491792571088262,4,4,1.0,19.039483612088222,8.613912508621635,20.897402348645254,5.800907539508548,16.924874731104566,6.511530025229636,2.884461972546535,8.050220950312319,1.0360069914213128,0.0,1.0,1.0,500,500,500,1.0,ok,0.9624902311487356,0.8302833625745746,37290.72233043197,0.0001185098323113,0.0003006946787514,27.79538671920945,0.9796399645142634,0.028998904671488,200704
"('margin', 18.0, 1.0, 0.0, 4)",0.5765429029062331,0.8059818850980519,2.3061716116249324,2.3061716116249324,1.2565873915148107,0.6282936957574053,0.22959156499668104,3.9688442824908776,3.93564835752635,4,4,1.0,19.573090358681604,8.696583774469461,21.41813333452475,5.776560564585107,17.474347060684096,6.6621624894290905,2.97689526617699,8.1021232125854,1.0603128635753591,0.0,1.0,1.0,500,500,500,1.0,ok,0.941283937977278,0.762854067786802,47093.26794563884,0.0001458812854514,0.0002619882905735,39.062867970853056,0.9791092447976748,0.0281421109071277,200704
"('margin', 4.0, 1.0, 0.0, 4)",0.6251540140173442,1.0004263295424962,2.5006160560693766,2.5006160560693766,1.3909081473153893,0.6954540736576946,0.2883937918662082,3.995559314103918,3.9912969019256286,4,4,1.0,15.771166679205956,8.541880595905054,17.93581396363141,5.407251871582679,14.112453353000582,4.508878572321999,2.849289706878712,7.985485108910187,1.0379305643191954,0.0,1.0,1.0,500,500,500,1.0,ok,1.0040992307347854,0.9534846725819868,20163.59348546943,0.0001058932438508,0.0005169341792267,17.862396080731212,0.9644013519352634,0.0367029738683129,200704
"('margin', 22.0, 1.0, 0.0, 4)",0.5740176503809805,0.7958808749970416,2.296070601523922,2.296070601523922,1.2500703408614406,0.6250351704307203,0.22701648103474326,3.9643719721406834,3.9263342671071833,4,4,1.0,20.430124066008908,8.720276734378228,22.213356245211,5.923639422139465,18.39018488983683,6.640900922812251,2.9898118929714537,8.124654519548878,1.0460593227722133,0.0,1.0,1.0,500,500,500,1.0,ok,0.9297008248719624,0.7364389329702802,54421.9146481907,0.0001772190688983,0.0002523974248372,50.379062351862856,0.9776278302969068,0.0285340996776239,200704
"('heatmap', 0.0, 3, 4)",0.3513625164955915,2.925997554088881,4.216350197947098,4.216350197947098,3.219351067536934,0.9293466027291788,0.8583500598898222,7.627559247838103,6.338392427540425,4,12,1.0,12.8363919499183,9.37549878109851,15.895689217089863,6.86815461172069,10.492480591339527,2.7403031879320365,4.869165248326588,7.94933123872164,0.9996699635142728,0.0,1.0,,500,,500,1.0,ok,1.0045033171170366,0.9540260244353964,12821.262953336694,8.134455184821018e-05,0.0005553373568235,11.425206168749646,0.9624759007007376,0.0314432220614396,200704
"('heatmap', 1.0, 3, 4)",2.1784836545600688,11.279513785847456,26.141803854720827,26.141803854720827,12.912195503092525,3.7274297747697718,2.957576688640909,5.298438002147969,4.489199716489539,4,12,1.0,11.386061396669229,9.187841682410715,14.630749430899463,5.343980731221434,9.660688803616896,2.7848439655977804,4.699225168073145,7.8451844052938515,0.8870170504144025,0.0,1.0,,500,,500,1.0,ok,1.0037490929225306,0.9540760309196646,12256.109171745482,7.624120714266598e-05,0.0005363696536782,10.502991279278945,0.9651274396775033,0.0296926118372193,200704
"('heatmap', 2.0, 3, 4)",7.568846091866772,33.686733084559656,90.82615310240125,90.82615310240125,41.510141120416684,11.982945574985962,9.109077457823183,4.749127713995427,4.20002620357002,4,12,0.94253,11.309884303171131,9.1529826298141,14.54959016511446,5.386954852179661,9.567136622547023,2.7136870153380426,4.819139051039016,7.747799734905667,0.7242852312625874,0.0,1.0,,500,,500,1.0,ok,1.004467476395522,0.9464810806067736,14282.998106757095,8.664443509195612e-05,0.0005493825500049,12.83801511508234,0.9620726667572777,0.0328304214234728,200704
"('heatmap', 1.5, 3, 4)",4.282514119141374,20.01871648660307,51.390169429696485,51.390169429696485,23.848294184325606,6.884409533516888,5.258614529176679,4.943475688309678,4.280931768818948,4,12,0.994125,11.2268139161197,9.182359406421703,14.50369177057621,5.212337548882802,9.548434000275236,2.77494074280393,4.76187438647908,7.813583129067411,0.7669389032046637,0.0,1.0,,500,,500,1.0,ok,1.003898675952672,0.9583790896036434,12676.598310120376,7.582573627726992e-05,0.0005216295807174,10.549971548096288,0.967091626448649,0.0293668986129674,200704
"('heatmap', 0.5, 3, 4)",0.9652635147893202,5.9332379068877295,11.583162177471845,11.583162177471845,6.638127978809663,1.916262487740473,1.6382288220781187,6.051944204735081,5.030513334795516,4,12,1.0,12.094343315411177,9.264523374843009,15.234977308615967,6.261139424654302,10.003988620906018,2.644141639332789,4.7553066942989615,7.895032638141624,0.941759655563162,0.0,1.0,,500,,500,1.0,ok,1.004301019065139,0.9497316489336626,12692.30316245088,7.564550267009028e-05,0.000519941167491,10.62681125347978,0.9667116459252896,0.0292907091313616,200704
